candidate_id,cost_scenario,phase,window_id,metric,before,after
A06__QQQM_SMH__primary,stress,delay,,sortino_zero_mar,-0.0013563333311507621,-0.005485514513056121
A06__QQQM_SMH__primary,stress,stress,stress_2020,sortino_zero_mar,,0.369079626561228
A06__QQQM_SMH__primary,severe,continuous,,win_rate,1.0,0.34285714285714286
A06__QQQM_SMH__primary,severe,continuous,,sortino_zero_mar,-0.5306404446462917,-1.6955232711928636
A06__QQQM_SMH__primary,severe,evaluation,W1,win_rate,1.0,0.25
A06__QQQM_SMH__primary,severe,evaluation,W1,sortino_zero_mar,-0.4929422406881144,-1.5150746340682706
A06__QQQM_SMH__primary,severe,evaluation,W2,win_rate,1.0,0.16666666666666666
A06__QQQM_SMH__primary,severe,evaluation,W2,sortino_zero_mar,-0.9701064326826617,-2.767203250513229
A06__QQQM_SMH__primary,severe,evaluation,W3,win_rate,1.0,0.4444444444444444
A06__QQQM_SMH__primary,severe,evaluation,W3,sortino_zero_mar,-0.11456475850725498,-0.2337284921647375
A06__QQQM_SMH__primary,severe,evaluation,W4,win_rate,1.0,0.4
A06__QQQM_SMH__primary,severe,evaluation,W4,sortino_zero_mar,0.45829567419866146,1.0329392940434068
A06__QQQM_SMH__primary,severe,evaluation,W5,win_rate,1.0,0.3333333333333333
A06__QQQM_SMH__primary,severe,evaluation,W5,sortino_zero_mar,-0.7277090711847817,-2.1498801865198818
A06__QQQM_SMH__primary,severe,evaluation,W6,win_rate,1.0,0.4
A06__QQQM_SMH__primary,severe,evaluation,W6,sortino_zero_mar,-0.8412154242126189,-2.08250265142343
A06__QQQM_SMH__primary,severe,delay,,win_rate,1.0,0.4857142857142857
A06__QQQM_SMH__primary,severe,delay,,sortino_zero_mar,-0.12051697127801549,-0.454873496903476
A06__QQQM_SMH__primary,severe,stress,stress_2020,win_rate,,0.0
A06__QQQM_SMH__primary,severe,stress,stress_2020,sortino_zero_mar,,-0.522013974900031
A07__QQQM_SMH__primary,base,continuous,,win_rate,1.0,0.5172413793103449
A07__QQQM_SMH__primary,base,continuous,,sortino_zero_mar,1.1446175552194202,1.3319593276579276
A07__QQQM_SMH__primary,base,evaluation,W1,win_rate,1.0,0.3333333333333333
A07__QQQM_SMH__primary,base,evaluation,W1,sortino_zero_mar,4.018469788189028,4.394171760837506
A07__QQQM_SMH__primary,base,evaluation,W2,win_rate,1.0,0.6666666666666666
A07__QQQM_SMH__primary,base,evaluation,W2,sortino_zero_mar,0.2761262330386635,0.30202153403138476
A07__QQQM_SMH__primary,base,evaluation,W3,win_rate,1.0,0.1
A07__QQQM_SMH__primary,base,evaluation,W3,sortino_zero_mar,-1.890292832737364,-2.1031052561585994
A07__QQQM_SMH__primary,base,evaluation,W4,sortino_zero_mar,3.942244323404215,5.197937008855671
A07__QQQM_SMH__primary,base,evaluation,W5,win_rate,1.0,0.25
